date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo_pre,away_elo_pre,home_fifa_pre,away_fifa_pre,home_form_pre,away_form_pre,match_weight
2022-07-27,Japan,Korea Republic,3,0,EAFF Championship,FALSE,1761,1815,1646,1632,69,72,0.8
2022-08-31,Mexico,Paraguay,0,1,Friendly,TRUE,1840,1684,1676,1407,66,46,0.6
2022-09-22,Australia,New Zealand,1,0,Friendly,FALSE,1707,1635,1555,1411,59,67,0.6
2022-09-22,France,Austria,2,0,UEFA Nations League,FALSE,1993,1702,1819,1420,68,60,1
2022-09-23,Japan,USA,2,0,Kirin Challenge Cup,TRUE,1785,1839,1651,1678,70,67,0.8
2022-09-23,Brazil,Ghana,3,0,Friendly,TRUE,2168,1530,1886,1429,76,52,0.6
2022-09-23,Canada,Qatar,2,0,Friendly,TRUE,1799,1655,1511,1493,70,65,0.6
2022-09-23,IR Iran,Uruguay,1,0,Friendly,TRUE,1816,1926,1671,1652,70,68,0.6
2022-09-23,Saudi Arabia,Ecuador,0,0,Friendly,TRUE,1636,1824,1505,1481,55,64,0.6
2022-09-24,Czechia,Portugal,0,4,UEFA Nations League,FALSE,1779,1972,1494,1709,61,70,1
2022-09-24,Spain,Switzerland,1,2,UEFA Nations League,FALSE,2029,1863,1810,1605,72,59,1
2022-09-25,New Zealand,Australia,0,2,Friendly,FALSE,1628,1714,1407,1559,63,63,0.6
2022-09-25,Austria,Croatia,1,3,UEFA Nations League,FALSE,1694,1854,1417,1629,56,69,1
2022-09-25,Netherlands,Belgium,1,0,UEFA Nations League,FALSE,1996,2026,1734,1809,75,66,1
2022-09-26,England,Germany,3,3,UEFA Nations League,FALSE,1893,1926,1738,1749,61,68,1
2022-09-27,Brazil,Tunisia,5,1,Friendly,TRUE,2169,1696,1888,1464,79,69,0.6
2022-09-27,Canada,Uruguay,0,2,Friendly,TRUE,1810,1912,1516,1647,71,68,0.6
2022-09-27,Ecuador,Japan,0,0,Kirin Challenge Cup,TRUE,1819,1814,1481,1656,61,70,0.8
2022-09-27,IR Iran,Senegal,1,1,Friendly,TRUE,1830,1708,1676,1578,70,66,0.6
2022-09-27,Mexico,Colombia,2,3,Friendly,TRUE,1836,1884,1672,1630,65,65,0.6
2022-09-27,Paraguay,Morocco,0,0,Friendly,TRUE,1705,1750,1420,1562,55,68,0.6
2022-09-27,Saudi Arabia,USA,0,0,Friendly,TRUE,1641,1811,1505,1673,53,62,0.6
2022-09-27,Portugal,Spain,0,1,UEFA Nations League,FALSE,2004,1993,1713,1799,70,68,1
2022-09-27,Switzerland,Czechia,2,1,UEFA Nations League,FALSE,1898,1746,1616,1490,60,58,1
2022-11-07,Qatar,Panama,2,1,Friendly,TRUE,1661,1682,1495,1424,66,64,0.6
2022-11-09,Mexico,Iraq,4,0,Friendly,TRUE,1827,1580,1667,1427,61,62,0.6
