team,snapshot_date,source,source_url,fifa_rank,fifa_points,points_precision,source_note
Mexico,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,15,1681,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
South Africa,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,54,1453,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Korea Republic,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,23,1585,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Czechia,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,39,1490,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Canada,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,26,1554,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Bosnia and Herzegovina,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,77,1320,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Qatar,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,53,1454,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Switzerland,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,18,1636,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Brazil,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,6,1761,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Morocco,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,11,1706,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Haiti,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,86,1281,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
