team,snapshot_date,form,previous_model_form,delta,matches,weighted_points_per_game,weighted_goal_diff,source_url
Mexico,2026-03-31,60,62,-2,10,1.43,0.14,https://www.international-football.net/country?team=Mexico
South Africa,2026-03-31,61,58,3,10,1.48,0.37,https://www.international-football.net/country?team=South%20Africa
Korea Republic,2026-03-31,61,64,-3,10,1.57,0.04,https://www.international-football.net/country?team=South%20Korea
Czechia,2026-03-31,63,57,6,10,1.59,0.41,https://www.international-football.net/country?team=Czech%20Republic
Canada,2026-03-31,64,60,4,10,1.69,0.59,https://www.international-football.net/country?team=Canada
Bosnia and Herzegovina,2026-03-31,64,47,17,10,1.59,0.69,https://www.international-football.net/country?team=Bosnia%20and%20Herzegovina
Qatar,2026-03-31,47,52,-5,10,0.6,-1.08,https://www.international-football.net/country?team=Qatar
Switzerland,2026-03-31,71,61,10,10,2.04,1.42,https://www.international-football.net/country?team=Switzerland
Brazil,2026-03-31,65,70,-5,10,1.69,0.8,https://www.international-football.net/country?team=Brazil
Morocco,2026-03-31,70,73,-3,10,2.09,0.89,https://www.international-football.net/country?team=Morocco
Haiti,2026-03-31,59,46,13,10,1.3,0.1,https://www.international-football.net/country?team=Haiti
Scotland,2026-03-31,63,53,10,10,1.56,0.46,https://www.international-football.net/country?team=Scotland
USA,2026-03-31,61,63,-2,10,1.57,-0.05,https://www.international-football.net/country?team=United%20States
Paraguay,2026-03-31,59,58,1,10,1.4,-0.01,https://www.international-football.net/country?team=Paraguay
Australia,2026-03-31,69,59,10,10,2.09,0.51,https://www.international-football.net/country?team=Australia
Türkiye,2026-03-31,71,66,5,10,2.24,0.83,https://www.international-football.net/country?team=Turkey
Germany,2026-03-31,70,70,0,10,2.17,0.86,https://www.international-football.net/country?team=Germany
Curacao,2026-03-31,58,51,7,10,1.28,-0.05,https://www.international-football.net/country?team=Curacao
Cote d'Ivoire,2026-03-31,72,63,9,10,2.21,1.2,https://www.international-football.net/country?team=Ivory%20Coast
Ecuador,2026-03-31,60,66,-6,10,1.4,0.3,https://www.international-football.net/country?team=Ecuador
Netherlands,2026-03-31,75,71,4,10,2.38,1.56,https://www.international-football.net/country?team=Netherlands
Japan,2026-03-31,72,72,0,10,2.32,0.91,https://www.international-football.net/country?team=Japan
Sweden,2026-03-31,59,58,1,10,1.41,-0.19,https://www.international-football.net/country?team=Sweden
Tunisia,2026-03-31,63,54,9,10,1.61,0.5,https://www.international-football.net/country?team=Tunisia
Belgium,2026-03-31,73,64,9,10,2.19,1.51,https://www.international-football.net/country?team=Belgium
Egypt,2026-03-31,69,62,7,10,2.09,0.81,https://www.international-football.net/country?team=Egypt
IR Iran,2026-03-31,63,60,3,10,1.49,0.7,https://www.international-football.net/country?team=Iran
New Zealand,2026-03-31,50,48,2,10,0.71,-0.58,https://www.international-football.net/country?team=New%20Zealand
Spain,2026-03-31,76,82,-6,10,2.39,1.81,https://www.international-football.net/country?team=Spain
Cabo Verde,2026-03-31,64,55,9,10,1.65,0.63,https://www.international-football.net/country?team=Cape%20Verde
Saudi Arabia,2026-03-31,57,51,6,10,1.28,-0.33,https://www.international-football.net/country?team=Saudi%20Arabia
Uruguay,2026-03-31,62,69,-7,10,1.58,0.18,https://www.international-football.net/country?team=Uruguay
France,2026-03-31,76,78,-2,10,2.53,1.52,https://www.international-football.net/country?team=France
Senegal,2026-03-31,80,66,14,10,2.8,1.8,https://www.international-football.net/country?team=Senegal
Iraq,2026-03-31,67,56,11,10,2,0.4,https://www.international-football.net/country?team=Iraq
Norway,2026-03-31,73,69,4,10,2.24,1.54,https://www.international-football.net/country?team=Norway
Argentina,2026-03-31,77,79,-2,10,2.52,1.61,https://www.international-football.net/country?team=Argentina
Algeria,2026-03-31,73,58,15,10,2.29,1.3,https://www.international-football.net/country?team=Algeria
Austria,2026-03-31,76,64,12,10,2.5,1.4,https://www.international-football.net/country?team=Austria
Jordan,2026-03-31,65,55,10,10,1.79,0.59,https://www.international-football.net/country?team=Jordan
Portugal,2026-03-31,70,74,-4,10,2.09,0.9,https://www.international-football.net/country?team=Portugal
Congo DR,2026-03-31,72,57,15,10,2.3,1.01,https://www.international-football.net/country?team=Dem.%20Rep.%20of%20Congo
Uzbekistan,2026-03-31,70,62,8,10,2.08,0.99,https://www.international-football.net/country?team=Uzbekistan
Colombia,2026-03-31,66,72,-6,10,1.77,0.95,https://www.international-football.net/country?team=Colombia
England,2026-03-31,72,73,-1,10,2.17,1.29,https://www.international-football.net/country?team=England
Croatia,2026-03-31,75,64,11,10,2.46,1.42,https://www.international-football.net/country?team=Croatia
Ghana,2026-03-31,58,46,12,10,1.25,-0.08,https://www.international-football.net/country?team=Ghana
Panama,2026-03-31,64,57,7,10,1.7,0.5,https://www.international-football.net/country?team=Panama
