date,group,team_a,team_b,venue,source
2026-06-11,A,Mexico,South Africa,Mexico City Stadium,FIFA match schedule page
2026-06-11,A,Korea Republic,Czechia,Estadio Guadalajara,FIFA match schedule page
2026-06-12,B,Canada,Bosnia and Herzegovina,Toronto Stadium,FIFA match schedule page
2026-06-12,D,USA,Paraguay,Los Angeles Stadium,FIFA match schedule page
2026-06-13,C,Haiti,Scotland,Boston Stadium,FIFA match schedule page
2026-06-13,D,Australia,Türkiye,BC Place Vancouver,FIFA match schedule page
2026-06-13,C,Brazil,Morocco,New York New Jersey Stadium,FIFA match schedule page
2026-06-13,B,Qatar,Switzerland,San Francisco Bay Area Stadium,FIFA match schedule page
2026-06-14,E,Cote d'Ivoire,Ecuador,Philadelphia Stadium,FIFA match schedule page
2026-06-14,E,Germany,Curacao,Houston Stadium,FIFA match schedule page
2026-06-14,F,Netherlands,Japan,Dallas Stadium,FIFA match schedule page
2026-06-14,F,Sweden,Tunisia,Estadio Monterrey,FIFA match schedule page
2026-06-15,H,Saudi Arabia,Uruguay,Miami Stadium,FIFA match schedule page
2026-06-15,H,Spain,Cabo Verde,Atlanta Stadium,FIFA match schedule page
2026-06-15,G,IR Iran,New Zealand,Los Angeles Stadium,FIFA match schedule page
2026-06-15,G,Belgium,Egypt,Seattle Stadium,FIFA match schedule page
2026-06-16,I,France,Senegal,New York New Jersey Stadium,FIFA match schedule page
2026-06-16,I,Iraq,Norway,Boston Stadium,FIFA match schedule page
2026-06-16,J,Argentina,Algeria,Kansas City Stadium,FIFA match schedule page
2026-06-16,J,Austria,Jordan,San Francisco Bay Area Stadium,FIFA match schedule page
2026-06-17,L,Ghana,Panama,Toronto Stadium,FIFA match schedule page
2026-06-17,L,England,Croatia,Dallas Stadium,FIFA match schedule page
2026-06-17,K,Portugal,Congo DR,Houston Stadium,FIFA match schedule page
2026-06-17,K,Uzbekistan,Colombia,Mexico City Stadium,FIFA match schedule page
2026-06-18,A,Czechia,South Africa,Atlanta Stadium,FIFA match schedule page
2026-06-18,B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,FIFA match schedule page
2026-06-18,B,Canada,Qatar,BC Place Vancouver,FIFA match schedule page
2026-06-18,A,Mexico,Korea Republic,Estadio Guadalajara,FIFA match schedule page
2026-06-19,C,Brazil,Haiti,Philadelphia Stadium,FIFA match schedule page
2026-06-19,C,Scotland,Morocco,Boston Stadium,FIFA match schedule page
2026-06-19,D,Türkiye,Paraguay,San Francisco Bay Area Stadium,FIFA match schedule page
2026-06-19,D,USA,Australia,Seattle Stadium,FIFA match schedule page
2026-06-20,E,Germany,Cote d'Ivoire,Toronto Stadium,FIFA match schedule page
2026-06-20,E,Ecuador,Curacao,Kansas City Stadium,FIFA match schedule page
