pair_key,team_a,team_b,matches,competitive_matches,team_a_wins,draws,team_b_wins,team_a_goals,team_b_goals,recent_matches_since_2010,recent_team_a_wins,recent_draws,recent_team_b_wins,last_match_date,last_match_tournament,last_match_score,last_match_result_for_team_a,source_url
Algeria||Argentina,Algeria,Argentina,1,0,0,0,1,3,4,0,0,0,0,2007-06-05,Friendly,Algeria 3-4 Argentina,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Australia,Algeria,Australia,0,0,0,0,0,0,0,0,0,0,0,,,,,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Austria,Algeria,Austria,1,1,0,0,1,0,2,0,0,0,0,1982-06-21,FIFA World Cup,Algeria 0-2 Austria,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Belgium,Algeria,Belgium,3,1,0,1,2,2,5,1,0,0,1,2014-06-17,FIFA World Cup,Belgium 2-1 Algeria,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Bosnia and Herzegovina,Algeria,Bosnia and Herzegovina,1,0,0,0,1,0,1,1,0,0,1,2012-11-14,Friendly,Algeria 0-1 Bosnia and Herzegovina,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Brazil,Algeria,Brazil,4,1,0,0,4,0,8,0,0,0,0,2007-08-22,Friendly,Algeria 0-2 Brazil,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Cabo Verde,Algeria,Cabo Verde,6,4,3,2,1,13,6,2,1,0,1,2023-10-12,Friendly,Algeria 5-1 Cabo Verde,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Canada,Algeria,Canada,1,0,1,0,0,1,0,0,0,0,0,1984-10-16,Friendly,Algeria 1-0 Canada,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Colombia,Algeria,Colombia,1,0,1,0,0,3,0,1,1,0,0,2019-10-15,Friendly,Algeria 3-0 Colombia,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Congo DR,Algeria,Congo DR,7,4,3,4,0,9,4,2,1,1,0,2026-01-06,African Cup of Nations,Algeria 1-0 Congo DR,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Cote d'Ivoire,Algeria,Cote d'Ivoire,23,17,7,8,8,27,29,5,1,2,2,2022-01-20,African Cup of Nations,Cote d'Ivoire 3-1 Algeria,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Croatia,Algeria,Croatia,0,0,0,0,0,0,0,0,0,0,0,,,,,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Curacao,Algeria,Curacao,0,0,0,0,0,0,0,0,0,0,0,,,,,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Czechia,Algeria,Czechia,0,0,0,0,0,0,0,0,0,0,0,,,,,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Ecuador,Algeria,Ecuador,0,0,0,0,0,0,0,0,0,0,0,,,,,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Egypt,Algeria,Egypt,23,18,8,9,6,28,29,3,0,2,1,2023-10-16,Friendly,Algeria 1-1 Egypt,D,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||England,Algeria,England,1,1,0,1,0,0,0,1,0,1,0,2010-06-18,FIFA World Cup,England 0-0 Algeria,D,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||France,Algeria,France,1,0,0,0,1,1,4,0,0,0,0,2001-10-06,Friendly,France 4-1 Algeria,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Germany,Algeria,Germany,3,2,2,0,1,5,3,1,0,0,1,2014-06-30,FIFA World Cup,Germany 2-1 Algeria,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Ghana,Algeria,Ghana,11,8,4,2,5,13,12,2,1,0,1,2022-01-05,Friendly,Algeria 3-0 Ghana,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Haiti,Algeria,Haiti,0,0,0,0,0,0,0,0,0,0,0,,,,,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||IR Iran,Algeria,IR Iran,3,0,2,0,1,4,3,2,1,0,1,2022-06-12,Friendly,IR Iran 1-2 Algeria,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Iraq,Algeria,Iraq,8,4,1,4,3,4,8,1,1,0,0,2025-12-09,Arab Cup,Algeria 2-0 Iraq,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Japan,Algeria,Japan,1,1,0,0,1,1,2,0,0,0,0,1986-05-11,Kirin Cup,Japan 2-1 Algeria,L,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Jordan,Algeria,Jordan,2,1,1,1,0,7,1,0,0,0,0,2004-05-30,Friendly,Algeria 1-1 Jordan,D,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Korea Republic,Algeria,Korea Republic,3,2,2,0,1,6,4,1,1,0,0,2014-06-22,FIFA World Cup,Korea Republic 2-4 Algeria,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Mexico,Algeria,Mexico,2,0,0,1,1,2,4,1,0,1,0,2020-10-13,Friendly,Mexico 2-2 Algeria,D,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Morocco,Algeria,Morocco,26,14,6,10,10,22,31,3,1,1,1,2021-12-11,Arab Cup,Morocco 2-2 Algeria,D,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
Algeria||Netherlands,Algeria,Netherlands,1,0,1,0,0,1,0,1,1,0,0,2026-06-03,Friendly,Netherlands 0-1 Algeria,W,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
