match_index,date,group,team_a,team_b,venue,temperature_2m_max_c,apparent_temperature_max_c,precipitation_sum_mm,wind_speed_10m_max_kmh,venue_environment_load,weather_load,forecast_status,source_url,snapshot_date
1,2026-06-11,A,Mexico,South Africa,Mexico City Stadium,23,26.5,13.7,4.9,78,59,forecast,https://api.open-meteo.com/v1/forecast?latitude=19.3029&longitude=-99.1505&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
2,2026-06-11,A,Korea Republic,Czechia,Estadio Guadalajara,25.9,28.6,2.6,7.2,58,42,forecast,https://api.open-meteo.com/v1/forecast?latitude=20.6819&longitude=-103.4622&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
3,2026-06-12,B,Canada,Bosnia and Herzegovina,Toronto Stadium,26.9,27.4,0,21,28,16,forecast,https://api.open-meteo.com/v1/forecast?latitude=43.6332&longitude=-79.4186&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
4,2026-06-12,D,USA,Paraguay,Los Angeles Stadium,24.8,26.7,0,21.6,34,19,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.9535&longitude=-118.3392&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
5,2026-06-13,C,Haiti,Scotland,Boston Stadium,30.1,31.6,1.5,12.5,32,31,forecast,https://api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
6,2026-06-13,D,Australia,Türkiye,BC Place Vancouver,23.8,22.7,0,13.5,24,13,forecast,https://api.open-meteo.com/v1/forecast?latitude=49.2768&longitude=-123.1119&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
7,2026-06-13,C,Brazil,Morocco,New York New Jersey Stadium,32.7,31.3,0.5,22.7,36,31,forecast,https://api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
8,2026-06-13,B,Qatar,Switzerland,San Francisco Bay Area Stadium,35.2,35.6,0,8.9,28,34,forecast,https://api.open-meteo.com/v1/forecast?latitude=37.4030&longitude=-121.9700&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
9,2026-06-14,E,Cote d'Ivoire,Ecuador,Philadelphia Stadium,33.4,33.4,2.7,21.7,38,42,forecast,https://api.open-meteo.com/v1/forecast?latitude=39.9008&longitude=-75.1675&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
10,2026-06-14,E,Germany,Curacao,Houston Stadium,32.5,35.7,0.5,22.6,58,53,forecast,https://api.open-meteo.com/v1/forecast?latitude=29.6847&longitude=-95.4107&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
11,2026-06-14,F,Netherlands,Japan,Dallas Stadium,34.3,37.5,0,25.7,54,54,forecast,https://api.open-meteo.com/v1/forecast?latitude=32.7473&longitude=-97.0945&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
12,2026-06-14,F,Sweden,Tunisia,Estadio Monterrey,33.4,36.7,0.1,14.8,66,58,forecast,https://api.open-meteo.com/v1/forecast?latitude=25.6683&longitude=-100.2447&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
13,2026-06-15,H,Saudi Arabia,Uruguay,Miami Stadium,32.5,35.5,0.3,22.9,72,59,forecast,https://api.open-meteo.com/v1/forecast?latitude=25.9580&longitude=-80.2389&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
14,2026-06-15,H,Spain,Cabo Verde,Atlanta Stadium,33.4,35.3,0,19.5,44,42,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.7554&longitude=-84.4008&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
15,2026-06-15,G,IR Iran,New Zealand,Los Angeles Stadium,22.4,23.2,0,19.2,34,19,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.9535&longitude=-118.3392&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
16,2026-06-15,G,Belgium,Egypt,Seattle Stadium,31.1,31.2,0,12.3,22,21,forecast,https://api.open-meteo.com/v1/forecast?latitude=47.5952&longitude=-122.3316&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
17,2026-06-16,I,France,Senegal,New York New Jersey Stadium,20.6,19.9,3.9,11.4,36,30,forecast,https://api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
18,2026-06-16,I,Iraq,Norway,Boston Stadium,18.5,18.2,2.1,9.3,32,23,forecast,https://api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
19,2026-06-16,J,Argentina,Algeria,Kansas City Stadium,23.7,25.6,1,13.8,48,29,forecast,https://api.open-meteo.com/v1/forecast?latitude=39.0489&longitude=-94.4839&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
20,2026-06-16,J,Austria,Jordan,San Francisco Bay Area Stadium,32,31.2,0,17.5,28,25,forecast,https://api.open-meteo.com/v1/forecast?latitude=37.4030&longitude=-121.9700&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
21,2026-06-17,L,Ghana,Panama,Toronto Stadium,21.4,19.8,0,22.4,28,16,forecast,https://api.open-meteo.com/v1/forecast?latitude=43.6332&longitude=-79.4186&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
22,2026-06-17,L,England,Croatia,Dallas Stadium,27.5,30.6,2.5,8.6,54,44,forecast,https://api.open-meteo.com/v1/forecast?latitude=32.7473&longitude=-97.0945&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
23,2026-06-17,K,Portugal,Congo DR,Houston Stadium,30.8,37.7,4.2,8.6,58,66,forecast,https://api.open-meteo.com/v1/forecast?latitude=29.6847&longitude=-95.4107&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
24,2026-06-17,K,Uzbekistan,Colombia,Mexico City Stadium,20,22.2,3.6,9.7,78,52,forecast,https://api.open-meteo.com/v1/forecast?latitude=19.3029&longitude=-99.1505&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
25,2026-06-18,A,Czechia,South Africa,Atlanta Stadium,22.3,25.3,5.1,21.4,44,37,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.7554&longitude=-84.4008&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
26,2026-06-18,B,Switzerland,Bosnia and Herzegovina,Los Angeles Stadium,25.3,26.9,0,22.2,34,19,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.9535&longitude=-118.3392&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
27,2026-06-18,B,Canada,Qatar,BC Place Vancouver,20.1,19.5,0,19.8,24,13,forecast,https://api.open-meteo.com/v1/forecast?latitude=49.2768&longitude=-123.1119&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
28,2026-06-18,A,Mexico,Korea Republic,Estadio Guadalajara,24.4,26.1,1.7,15.5,58,36,forecast,https://api.open-meteo.com/v1/forecast?latitude=20.6819&longitude=-103.4622&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
29,2026-06-19,C,Brazil,Haiti,Philadelphia Stadium,27.6,27.2,0.9,13.8,38,24,forecast,https://api.open-meteo.com/v1/forecast?latitude=39.9008&longitude=-75.1675&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
30,2026-06-19,C,Scotland,Morocco,Boston Stadium,26.2,23.9,2.4,19.8,32,24,forecast,https://api.open-meteo.com/v1/forecast?latitude=42.0909&longitude=-71.2643&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
31,2026-06-19,D,Türkiye,Paraguay,San Francisco Bay Area Stadium,29.2,28,0,20.7,28,18,forecast,https://api.open-meteo.com/v1/forecast?latitude=37.4030&longitude=-121.9700&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
32,2026-06-19,D,USA,Australia,Seattle Stadium,28.8,29.9,0,13.7,22,18,forecast,https://api.open-meteo.com/v1/forecast?latitude=47.5952&longitude=-122.3316&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
33,2026-06-20,E,Germany,Cote d'Ivoire,Toronto Stadium,23.1,23.1,0,10.7,28,15,forecast,https://api.open-meteo.com/v1/forecast?latitude=43.6332&longitude=-79.4186&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
34,2026-06-20,E,Ecuador,Curacao,Kansas City Stadium,25.3,27.1,0.3,21.8,48,27,forecast,https://api.open-meteo.com/v1/forecast?latitude=39.0489&longitude=-94.4839&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
35,2026-06-20,F,Netherlands,Sweden,Houston Stadium,31.5,36.7,0.9,20.7,58,55,forecast,https://api.open-meteo.com/v1/forecast?latitude=29.6847&longitude=-95.4107&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
36,2026-06-20,F,Tunisia,Japan,Estadio Monterrey,34.5,37.8,0,17.2,66,60,forecast,https://api.open-meteo.com/v1/forecast?latitude=25.6683&longitude=-100.2447&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
37,2026-06-21,H,Uruguay,Cabo Verde,Miami Stadium,32.4,35.4,0,23.7,72,59,forecast,https://api.open-meteo.com/v1/forecast?latitude=25.9580&longitude=-80.2389&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
38,2026-06-21,H,Spain,Saudi Arabia,Atlanta Stadium,24.7,25.7,0,15.1,44,24,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.7554&longitude=-84.4008&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
39,2026-06-21,G,Belgium,IR Iran,Los Angeles Stadium,19.6,19.2,0,23.4,34,19,forecast,https://api.open-meteo.com/v1/forecast?latitude=33.9535&longitude=-118.3392&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
40,2026-06-21,G,New Zealand,Egypt,BC Place Vancouver,18.9,19.1,0,11.9,24,13,forecast,https://api.open-meteo.com/v1/forecast?latitude=49.2768&longitude=-123.1119&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
41,2026-06-22,I,Norway,Senegal,New York New Jersey Stadium,30.3,29.4,0,17.8,36,25,forecast,https://api.open-meteo.com/v1/forecast?latitude=40.8135&longitude=-74.0745&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
42,2026-06-22,I,France,Iraq,Philadelphia Stadium,28.9,28.2,0,12.8,38,24,forecast,https://api.open-meteo.com/v1/forecast?latitude=39.9008&longitude=-75.1675&daily=temperature_2m_max%2Capparent_temperature_max%2Cprecipitation_sum%2Cwind_speed_10m_max&forecast_days=16&timezone=auto,2026-06-11
