team,source_team,snapshot_date,source,source_url,american_odds
France,France,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,450
Spain,Spain,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,450
England,England,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,650
Argentina,Argentina,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,800
Brazil,Brazil,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,800
Portugal,Portugal,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,900
Germany,Germany,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,1400
Netherlands,Netherlands,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,2000
Norway,Norway,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,2500
Belgium,Belgium,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,3300
Colombia,Columbia,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,3500
Morocco,Morocco,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,4000
USA,USA,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,4000
