team,source_team,snapshot_date,source,source_url,implied_probability,best_bid,best_ask,volume_usd
Spain,Spain,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.1695,0.169,0.17,40006522
France,France,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.1605,0.16,0.161,46249565
Portugal,Portugal,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.1105,0.11,0.111,42163408
England,England,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.1045,0.104,0.105,34641669
Argentina,Argentina,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0885,0.088,0.089,36995041
Brazil,Brazil,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0855,0.085,0.086,36218813
Germany,Germany,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0515,0.051,0.052,39382663
Netherlands,Netherlands,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0445,0.044,0.045,41760328
Norway,Norway,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0245,0.024,0.025,42524103
Belgium,Belgium,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0205,0.02,0.021,44123212
Japan,Japan,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0205,0.02,0.021,44939831
Colombia,Colombia,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0175,0.017,0.018,44551829
Morocco,Morocco,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0155,0.015,0.016,47012753
Mexico,Mexico,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0145,0.014,0.015,49019915
Switzerland,Switzerland,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0135,0.013,0.014,41910685
USA,USA,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0115,0.011,0.012,58173754
Türkiye,Turkiye,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0105,0.01,0.011,40024483
Uruguay,Uruguay,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0095,0.009,0.01,42599362
Croatia,Croatia,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0085,0.008,0.009,47963073
Ecuador,Ecuador,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0085,0.008,0.009,48434805
Senegal,Senegal,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0065,0.006,0.007,41139998
Austria,Austria,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0045,0.004,0.005,46034208
Canada,Canada,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0035,0.003,0.004,46972296
Cote d'Ivoire,Ivory Coast,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0035,0.003,0.004,56012153
Korea Republic,South Korea,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0035,0.003,0.004,60390258
Sweden,Sweden,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0035,0.003,0.004,33865242
Egypt,Egypt,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0025,0.002,0.003,53492938
Scotland,Scotland,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0025,0.002,0.003,44719860
Algeria,Algeria,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0015,0.001,0.002,47049762
Australia,Australia,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0015,0.001,0.002,48041476
Bosnia and Herzegovina,Bosnia-Herzegovina,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0015,0.001,0.002,30998929
Congo DR,Congo DR,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0015,0.001,0.002,59903983
Ghana,Ghana,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0015,0.001,0.002,39379766
IR Iran,Iran,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0015,0.001,0.002,48757404
Paraguay,Paraguay,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0015,0.001,0.002,48621952
