team,snapshot_date,source,source_url,qualification_status,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points,points_per_match,away_matches,away_points_per_match,qualifying_score,source_note
Algeria,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,10,8,1,1,24,8,16,25,2.5,4,2.5,80,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Argentina,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,18,12,2,4,31,10,21,38,2.11,9,1.78,70,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Australia,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,16,11,4,1,38,7,31,37,2.31,7,2.14,80,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Austria,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,8,6,1,1,22,4,18,19,2.38,4,2.25,84,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Belgium,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,8,5,3,0,29,7,22,18,2.25,4,2,83,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Bosnia and Herzegovina,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,10,5,4,1,19,9,10,19,1.9,5,1.8,65,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Brazil,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,18,8,4,6,24,17,7,28,1.56,9,0.89,54,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Cabo Verde,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,10,7,2,1,16,8,8,23,2.3,5,2,70,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Canada,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,host_exempt,0,0,0,0,0,0,0,0,0,0,0,60,Host nation did not play 2026 World Cup qualifiers; neutral baseline avoids double-counting friendly form.
Colombia,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,18,7,7,4,28,18,10,28,1.56,9,1.11,55,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Congo DR,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,13,9,2,2,18,7,11,29,2.23,7,2,70,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Cote d'Ivoire,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,10,8,2,0,25,0,25,26,2.6,5,2.2,90,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Croatia,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,8,7,1,0,26,4,22,22,2.75,4,2.5,93,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Curacao,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,10,7,3,0,28,5,23,24,2.4,5,2.2,84,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
Czechia,2026-06-12,martj42/international_results results.csv,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,qualified,10,5,3,2,22,12,10,18,1.8,4,1.5,63,"Score combines points per match, goal difference, defensive record, attacking output and away qualifying record."
