team,matches,first_date,last_date,origin_city,origin_country,venue_sequence,country_sequence,timezone_sequence,entry_travel_km,entry_timezone_shift_hours,group_stage_travel_km,avg_rest_days,rest_sequence_days,max_timezone_shift_hours,border_crossings,avg_altitude_m,max_altitude_m,avg_environment_load,weather_forecast_matches,weather_baseline_matches,weather_snapshot_date
Algeria,3,2026-06-16,2026-06-27,Algiers,Algeria,Kansas City Stadium > San Francisco Bay Area Stadium > Kansas City Stadium,USA > USA > USA,-5|-7|-5,8098,6,4798,5.5,6|5,2,0,180,264,31,2,1,2026-06-11
Argentina,3,2026-06-16,2026-06-27,Buenos Aires,Argentina,Kansas City Stadium > Dallas Stadium > Dallas Stadium,USA > USA > USA,-5|-5|-5,8992,2,739,5.5,6|5,0,0,211,264,45,2,1,2026-06-11
Australia,3,2026-06-13,2026-06-25,Sydney,Australia,BC Place Vancouver > Seattle Stadium > San Francisco Bay Area Stadium,Canada > USA > USA,-7|-7|-7,12502,17,1329,6,6|6,0,1,11,13,19,3,0,2026-06-11
Austria,3,2026-06-16,2026-06-27,Vienna,Austria,San Francisco Bay Area Stadium > Dallas Stadium > Kansas City Stadium,USA > USA > USA,-7|-5|-5,9642,9,3054,5.5,6|5,2,0,153,264,42,2,1,2026-06-11
Belgium,3,2026-06-15,2026-06-26,Brussels,Belgium,Seattle Stadium > Los Angeles Stadium > BC Place Vancouver,USA > USA > Canada,-7|-7|-7,7944,9,3302,5.5,6|5,0,1,20,38,21,2,1,2026-06-11
Bosnia and Herzegovina,3,2026-06-12,2026-06-24,Sarajevo,Bosnia and Herzegovina,Toronto Stadium > Los Angeles Stadium > Seattle Stadium,Canada > USA > USA,-4|-7|-7,7337,6,5058,6,6|6,3,1,41,76,16,3,0,2026-06-11
Brazil,3,2026-06-13,2026-06-24,Rio de Janeiro,Brazil,New York New Jersey Stadium > Philadelphia Stadium > Miami Stadium,USA > USA > USA,-4|-4|-4,7772,1,1758,5.5,6|5,0,0,6,12,38,3,0,2026-06-11
Cabo Verde,3,2026-06-15,2026-06-26,Praia,Cape Verde,Atlanta Stadium > Miami Stadium > Houston Stadium,USA > USA > USA,-4|-4|-5,6418,3,2502,5.5,6|5,1,0,112,320,53,2,1,2026-06-11
Canada,3,2026-06-12,2026-06-24,Toronto,Canada,Toronto Stadium > BC Place Vancouver > BC Place Vancouver,Canada > Canada > Canada,-4|-7|-7,4,0,3357,6,6|6,3,0,34,76,14,3,0,2026-06-11
Colombia,3,2026-06-17,2026-06-27,Bogota,Colombia,Mexico City Stadium > Estadio Guadalajara > Miami Stadium,Mexico > Mexico > USA,-6|-6|-4,3166,1,2915,5,6|4,2,1,1269,2240,55,2,1,2026-06-11
Congo DR,3,2026-06-17,2026-06-27,Kinshasa,Democratic Republic of the Congo,Houston Stadium > Estadio Guadalajara > Atlanta Stadium,USA > Mexico > USA,-5|-6|-4,12246,6,3660,5,6|4,2,2,633,1566,51,2,1,2026-06-11
