team,announcement_status,announced_26_available,fifa_final_26_available,announced_date,source_type,source_title,source_url,notes
Mexico,preliminary,false,false,2026-05-23,federation_tracking,51-player reduced preliminary list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Mexico,Final squad scheduled for 2026-06-01.
South Africa,association_26_announced,true,false,2026-05-27,federation_social,Final Bafana Bafana squad locked in,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#South_Africa,Association announced final World Cup squad; FIFA final publication still pending.
Korea Republic,association_26_announced,true,false,2026-05-15,federation,World Cup squad announced,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#South_Korea,Association announced World Cup squad; FIFA final publication still pending.
Czechia,preliminary,false,false,2026-05-21,federation_tracking,29-player reduced squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Czech_Republic,Final squad scheduled for 2026-05-31.
Canada,association_26_announced,true,false,2026-05-29,federation,Canada Soccer 26-player roster,https://news.canadasoccer.com/canada-soccer-announces-canmnt-squad-for-fifa-world-cup-2026,Canada Soccer announced 26 players; FIFA final publication still pending.
Bosnia and Herzegovina,association_26_announced,true,false,2026-05-11,federation,World Cup players selected,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Bosnia_and_Herzegovina,Association announced selected players; FIFA final publication still pending.
Qatar,preliminary,false,false,2026-05-25,federation,28-player friendly/preliminary squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Qatar,Not reduced to 26 yet.
Switzerland,association_26_announced,true,false,2026-05-20,federation,Swiss World Cup squad complete,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Switzerland,Association announced complete World Cup squad; FIFA final publication still pending.
Brazil,association_26_announced,true,false,2026-05-18,federation,CBF 26-player World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Brazil,Association announced 26 players; FIFA final publication still pending.
Morocco,association_26_announced,true,false,2026-05-26,federation,FRMF 26-man final list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Morocco,Association announced 26-man list; FIFA final publication still pending.
Haiti,association_26_announced,true,false,2026-05-15,federation_social,Official Grenadiers list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Haiti,Association announced World Cup squad; FIFA final publication still pending.
Scotland,association_26_announced,true,false,2026-05-19,federation,Scottish FA World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Scotland,Association announced World Cup squad; FIFA final publication still pending.
USA,association_26_announced,true,false,2026-05-26,federation,US Soccer 26-player roster,https://www.ussoccer.com/stories/2026/05/usmnt-head-coach-mauricio-pochettino-names-26-player-roster-for-fifa-world-cup-2026,US Soccer announced 26-player roster; FIFA final publication still pending.
Paraguay,preliminary,false,false,2026-05-12,public_report,55-player preliminary list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Paraguay,Not reduced to 26 yet.
Australia,training_camp,false,false,2026-05-04,federation,Pre-camp squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Australia,No final 26 announcement captured.
Türkiye,preliminary,false,false,2026-05-18,federation,Preliminary World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Turkey,Not reduced to 26 yet.
Germany,association_26_announced,true,false,2026-05-21,federation,DFB 26-man World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Germany,Association announced 26 players; FIFA final publication still pending.
Curacao,association_26_announced,true,false,2026-05-18,federation_tracking,Curacao World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Cura%C3%A7ao,Association announced World Cup squad and numbers; FIFA final publication still pending.
Cote d'Ivoire,association_26_announced,true,false,2026-05-15,federation_social,Ivorian World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Ivory_Coast,Association announced squad with later injury replacement; FIFA final publication still pending.
Ecuador,squad_announced_unverified,false,false,2026-05-19,federation_social,Call-up announcement,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Ecuador,Announcement captured but 26-player final status not confirmed.
