team,season_id,snapshot_date,players,real_player_stats,proxy_player_stats,starter_count,rotation_count,reserve_count,avg_role_score,top11_role_score,top15_role_score,minutes_coverage,goals_assists,goals_assists_score,club_season_score,source_note
Algeria,2025,2026-06-12,26,24,2,9,14,3,58.6,73.1,69.4,100,184,100,76,"24/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Argentina,2025,2026-06-12,26,26,0,11,15,0,63.8,80.5,76,100,195,100,82,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Australia,2025,2026-06-12,26,26,0,4,16,6,53.3,68.2,64.6,100,90,100,73,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Austria,2025,2026-06-12,26,26,0,6,19,1,61.2,71.8,68.9,100,94,100,76,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Belgium,2025,2026-06-12,26,26,0,16,9,1,65.9,76.5,74.9,100,169,100,80,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Bosnia and Herzegovina,2025,2026-06-12,26,26,0,8,16,2,59.1,72.1,68.5,100,133,100,76,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Brazil,2025,2026-06-12,26,24,2,12,12,2,61.6,76.7,73.5,100,208,100,79,"24/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Cabo Verde,2025,2026-06-12,26,26,0,5,14,7,49.7,65.7,61.2,100,122,100,71,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Canada,2025,2026-06-12,26,25,1,3,14,9,45.4,62,57.4,66.8,97,100,64,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Colombia,2025,2026-06-12,26,26,0,9,9,8,57.1,76.3,72.1,100,203,100,79,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
