team,wiki_section,announced_26_available,parsed_players,imported_players,import_status,source_url
Czechia,Czech Republic,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Czech_Republic
Mexico,Mexico,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Mexico
South Africa,South Africa,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#South_Africa
Korea Republic,South Korea,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#South_Korea
Bosnia and Herzegovina,Bosnia and Herzegovina,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Bosnia_and_Herzegovina
Canada,Canada,true,25,25,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Canada
Qatar,Qatar,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Qatar
Switzerland,Switzerland,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Switzerland
Brazil,Brazil,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Brazil
Haiti,Haiti,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Haiti
Morocco,Morocco,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Morocco
Scotland,Scotland,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Scotland
Australia,Australia,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Australia
Paraguay,Paraguay,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Paraguay
Türkiye,Turkey,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Turkey
USA,United States,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#United_States
Curacao,Curaçao,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Cura%C3%A7ao
Ecuador,Ecuador,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Ecuador
Germany,Germany,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Germany
Cote d'Ivoire,Ivory Coast,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Ivory_Coast
Japan,Japan,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Japan
Netherlands,Netherlands,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Netherlands
Sweden,Sweden,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Sweden
Tunisia,Tunisia,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Tunisia
Belgium,Belgium,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Belgium
Egypt,Egypt,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Egypt
IR Iran,Iran,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Iran
New Zealand,New Zealand,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#New_Zealand
Cabo Verde,Cape Verde,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Cape_Verde
Saudi Arabia,Saudi Arabia,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Saudi_Arabia
Spain,Spain,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain
Uruguay,Uruguay,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Uruguay
France,France,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France
Iraq,Iraq,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Iraq
Norway,Norway,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway
Senegal,Senegal,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Senegal
Algeria,Algeria,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Algeria
Argentina,Argentina,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina
Austria,Austria,true,25,25,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria
Jordan,Jordan,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Jordan
Colombia,Colombia,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia
Congo DR,DR Congo,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#DR_Congo
Portugal,Portugal,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Portugal
Uzbekistan,Uzbekistan,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Uzbekistan
Croatia,Croatia,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Croatia
England,England,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#England
Ghana,Ghana,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Ghana
Panama,Panama,true,26,26,imported,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Panama
