team,snapshot_date,squad_status,final_26_available,announced_26_available,announcement_status,announcement_date,squad_value_m,avg_age,injury_risk,club_score,profile_status,source_note,value_source,replacement_key
Mexico,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,215,27.5,22,60,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
South Africa,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,43,26.3,22,55,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Korea Republic,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,205,27.5,22,64,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Czechia,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,185,27.2,22,63,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Canada,2026-06-02,25人官方最终名单,true,true,FIFA最终名单,2026-06-02,230,26.6,22,72,official_final_player_level,25 player rows aggregated; 3 goalkeepers; source URLs 25/25; value rows 0/25; availability rows 0/25.,mixed_or_manual,squads_2026.csv -> aggregate by team
Bosnia and Herzegovina,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,95,25.9,22,69,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Qatar,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,21,28.9,22,44,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Switzerland,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,305,27.8,22,86,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Brazil,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,1120,28.7,22,80,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Morocco,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,370,25.9,22,77,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Haiti,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,28,27.1,22,65,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Scotland,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,245,28.7,22,78,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
USA,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,330,26.4,21,77,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 2/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Paraguay,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,160,28.5,22,69,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Australia,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,55,26.9,22,69,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Türkiye,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,470,27.2,22,65,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Germany,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,865,27.5,22,88,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Curacao,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,36,27.5,22,68,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Cote d'Ivoire,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,260,25.3,22,72,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Ecuador,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,285,25.6,22,68,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Netherlands,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,790,27.3,22,89,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 1/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Japan,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,330,27.2,29,76,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Sweden,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,345,27,22,80,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
