team,slot,player,position,age,club,league,market_value_m,caps,goals,injury_status,expected_role,list_status,source_url,snapshot_date
Mexico,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Mexico,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
South Africa,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
