advancing_third_groups,3ABCDF,3CDFGH,3CEFHI,3EHIJK,3BEFIJ,3AEHIJ,3EFGIJ,3DEIJL,assignment_source
ABCDEFGH,C,G,H,E,B,A,F,D,generated_from_fifa_candidate_slots
ABCDEFGI,B,C,F,E,I,A,G,D,generated_from_fifa_candidate_slots
ABCDEFGJ,B,F,C,E,J,A,G,D,generated_from_fifa_candidate_slots
ABCDEFGK,F,G,C,K,B,A,E,D,generated_from_fifa_candidate_slots
ABCDEFGL,D,G,C,E,B,A,F,L,generated_from_fifa_candidate_slots
ABCDEFHI,A,C,I,E,B,H,F,D,generated_from_fifa_candidate_slots
ABCDEFHJ,A,C,H,E,B,J,F,D,generated_from_fifa_candidate_slots
ABCDEFHK,F,C,H,K,B,A,E,D,generated_from_fifa_candidate_slots
ABCDEFHL,D,C,H,E,B,A,F,L,generated_from_fifa_candidate_slots
ABCDEFIJ,B,C,F,E,J,A,I,D,generated_from_fifa_candidate_slots
ABCDEFIK,B,C,F,K,I,A,E,D,generated_from_fifa_candidate_slots
ABCDEFIL,D,C,I,E,B,A,F,L,generated_from_fifa_candidate_slots
ABCDEFJK,B,C,E,K,J,A,F,D,generated_from_fifa_candidate_slots
ABCDEFJL,D,C,F,E,B,A,J,L,generated_from_fifa_candidate_slots
ABCDEFKL,D,C,F,K,B,A,E,L,generated_from_fifa_candidate_slots
ABCDEGHI,A,C,H,E,B,I,G,D,generated_from_fifa_candidate_slots
ABCDEGHJ,A,H,C,E,B,J,G,D,generated_from_fifa_candidate_slots
ABCDEGHK,A,G,C,K,B,H,E,D,generated_from_fifa_candidate_slots
ABCDEGHL,D,H,C,E,B,A,G,L,generated_from_fifa_candidate_slots
ABCDEGIJ,A,C,E,I,B,J,G,D,generated_from_fifa_candidate_slots
ABCDEGIK,D,C,E,K,B,A,G,I,generated_from_fifa_candidate_slots
ABCDEGIL,D,C,I,E,B,A,G,L,generated_from_fifa_candidate_slots
ABCDEGJK,A,D,C,K,B,E,G,J,generated_from_fifa_candidate_slots
ABCDEGJL,A,D,C,E,B,J,G,L,generated_from_fifa_candidate_slots
ABCDEGKL,D,G,C,K,B,A,E,L,generated_from_fifa_candidate_slots
ABCDEHIJ,A,C,H,I,B,J,E,D,generated_from_fifa_candidate_slots
ABCDEHIK,A,C,H,K,B,I,E,D,generated_from_fifa_candidate_slots
ABCDEHIL,D,C,I,H,B,A,E,L,generated_from_fifa_candidate_slots
ABCDEHJK,A,C,H,K,B,J,E,D,generated_from_fifa_candidate_slots
ABCDEHJL,D,C,H,J,B,A,E,L,generated_from_fifa_candidate_slots
ABCDEHKL,D,C,H,K,B,A,E,L,generated_from_fifa_candidate_slots
ABCDEIJK,A,C,E,K,B,J,I,D,generated_from_fifa_candidate_slots
ABCDEIJL,D,C,E,I,B,A,J,L,generated_from_fifa_candidate_slots
ABCDEIKL,D,C,I,K,B,A,E,L,generated_from_fifa_candidate_slots
ABCDEJKL,D,C,E,K,B,A,J,L,generated_from_fifa_candidate_slots
ABCDFGHI,C,G,I,H,B,A,F,D,generated_from_fifa_candidate_slots
ABCDFGHJ,F,G,C,H,B,A,J,D,generated_from_fifa_candidate_slots
ABCDFGHK,C,G,H,K,B,A,F,D,generated_from_fifa_candidate_slots
ABCDFGHL,D,G,C,H,B,A,F,L,generated_from_fifa_candidate_slots
ABCDFGIJ,B,F,C,I,J,A,G,D,generated_from_fifa_candidate_slots
ABCDFGIK,F,G,C,K,B,A,I,D,generated_from_fifa_candidate_slots
ABCDFGIL,D,G,C,I,B,A,F,L,generated_from_fifa_candidate_slots
ABCDFGJK,F,G,C,K,B,A,J,D,generated_from_fifa_candidate_slots
ABCDFGJL,D,G,C,J,B,A,F,L,generated_from_fifa_candidate_slots
ABCDFGKL,D,G,C,K,B,A,F,L,generated_from_fifa_candidate_slots
ABCDFHIJ,A,C,I,H,B,J,F,D,generated_from_fifa_candidate_slots
ABCDFHIK,C,H,I,K,B,A,F,D,generated_from_fifa_candidate_slots
ABCDFHIL,D,C,I,H,B,A,F,L,generated_from_fifa_candidate_slots
ABCDFHJK,A,H,C,K,B,J,F,D,generated_from_fifa_candidate_slots
ABCDFHJL,A,D,C,H,B,J,F,L,generated_from_fifa_candidate_slots
ABCDFHKL,D,H,C,K,B,A,F,L,generated_from_fifa_candidate_slots
ABCDFIJK,B,C,F,K,J,A,I,D,generated_from_fifa_candidate_slots
ABCDFIJL,D,C,F,I,B,A,J,L,generated_from_fifa_candidate_slots
ABCDFIKL,D,C,I,K,B,A,F,L,generated_from_fifa_candidate_slots
ABCDFJKL,B,D,C,K,J,A,F,L,generated_from_fifa_candidate_slots
ABCDGHIJ,A,D,C,H,B,J,G,I,generated_from_fifa_candidate_slots
ABCDGHIK,A,H,C,K,B,I,G,D,generated_from_fifa_candidate_slots
ABCDGHIL,A,D,C,H,B,I,G,L,generated_from_fifa_candidate_slots
ABCDGHJK,A,H,C,K,B,J,G,D,generated_from_fifa_candidate_slots
ABCDGHJL,A,D,C,H,B,J,G,L,generated_from_fifa_candidate_slots
ABCDGHKL,D,H,C,K,B,A,G,L,generated_from_fifa_candidate_slots
ABCDGIJK,A,D,C,K,B,I,G,J,generated_from_fifa_candidate_slots
ABCDGIJL,A,D,C,I,B,J,G,L,generated_from_fifa_candidate_slots
ABCDGIKL,D,G,C,K,B,A,I,L,generated_from_fifa_candidate_slots
ABCDGJKL,D,G,C,K,B,A,J,L,generated_from_fifa_candidate_slots
ABCDHIJK,A,C,H,K,B,J,I,D,generated_from_fifa_candidate_slots
ABCDHIJL,D,C,H,J,B,A,I,L,generated_from_fifa_candidate_slots
ABCDHIKL,D,C,H,K,B,A,I,L,generated_from_fifa_candidate_slots
ABCDHJKL,A,D,C,K,B,H,J,L,generated_from_fifa_candidate_slots
ABCDIJKL,D,C,I,K,B,A,J,L,generated_from_fifa_candidate_slots
ABCEFGHI,A,C,F,H,B,I,G,E,generated_from_fifa_candidate_slots
ABCEFGHJ,A,C,F,H,B,J,G,E,generated_from_fifa_candidate_slots
ABCEFGHK,C,G,H,K,B,A,F,E,generated_from_fifa_candidate_slots
ABCEFGHL,C,G,H,E,B,A,F,L,generated_from_fifa_candidate_slots
ABCEFGIJ,A,C,F,E,B,J,G,I,generated_from_fifa_candidate_slots
ABCEFGIK,B,C,F,K,I,A,G,E,generated_from_fifa_candidate_slots
ABCEFGIL,B,C,F,E,I,A,G,L,generated_from_fifa_candidate_slots
ABCEFGJK,B,C,F,K,J,A,G,E,generated_from_fifa_candidate_slots
ABCEFGJL,B,C,F,E,J,A,G,L,generated_from_fifa_candidate_slots
ABCEFGKL,F,C,E,K,B,A,G,L,generated_from_fifa_candidate_slots
ABCEFHIJ,A,C,I,H,B,J,F,E,generated_from_fifa_candidate_slots
ABCEFHIK,A,C,I,K,B,H,F,E,generated_from_fifa_candidate_slots
ABCEFHIL,A,C,I,E,B,H,F,L,generated_from_fifa_candidate_slots
ABCEFHJK,A,C,H,K,B,J,F,E,generated_from_fifa_candidate_slots
ABCEFHJL,A,C,H,E,B,J,F,L,generated_from_fifa_candidate_slots
ABCEFHKL,F,C,H,K,B,A,E,L,generated_from_fifa_candidate_slots
ABCEFIJK,A,C,F,K,B,I,J,E,generated_from_fifa_candidate_slots
ABCEFIJL,A,C,F,E,B,I,J,L,generated_from_fifa_candidate_slots
ABCEFIKL,B,C,F,K,I,A,E,L,generated_from_fifa_candidate_slots
ABCEFJKL,B,C,E,K,J,A,F,L,generated_from_fifa_candidate_slots
ABCEGHIJ,A,C,H,I,B,J,G,E,generated_from_fifa_candidate_slots
ABCEGHIK,A,C,H,K,B,I,G,E,generated_from_fifa_candidate_slots
ABCEGHIL,A,C,H,E,B,I,G,L,generated_from_fifa_candidate_slots
ABCEGHJK,A,C,H,K,B,J,G,E,generated_from_fifa_candidate_slots
ABCEGHJL,A,C,E,H,B,J,G,L,generated_from_fifa_candidate_slots
ABCEGHKL,A,G,C,K,B,H,E,L,generated_from_fifa_candidate_slots
ABCEGIJK,A,C,E,K,B,J,G,I,generated_from_fifa_candidate_slots
ABCEGIJL,A,C,E,I,B,J,G,L,generated_from_fifa_candidate_slots
ABCEGIKL,A,C,E,K,B,I,G,L,generated_from_fifa_candidate_slots
ABCEGJKL,A,C,E,K,B,J,G,L,generated_from_fifa_candidate_slots
ABCEHIJK,A,C,H,K,B,J,E,I,generated_from_fifa_candidate_slots
ABCEHIJL,A,C,H,I,B,J,E,L,generated_from_fifa_candidate_slots
ABCEHIKL,A,C,H,K,B,I,E,L,generated_from_fifa_candidate_slots
ABCEHJKL,A,C,H,K,B,J,E,L,generated_from_fifa_candidate_slots
ABCEIJKL,A,C,E,K,B,J,I,L,generated_from_fifa_candidate_slots
ABCFGHIJ,A,C,F,H,B,J,G,I,generated_from_fifa_candidate_slots
ABCFGHIK,C,G,H,K,B,A,F,I,generated_from_fifa_candidate_slots
ABCFGHIL,C,G,I,H,B,A,F,L,generated_from_fifa_candidate_slots
ABCFGHJK,F,H,C,K,B,A,G,J,generated_from_fifa_candidate_slots
ABCFGHJL,F,G,C,H,B,A,J,L,generated_from_fifa_candidate_slots
ABCFGHKL,C,G,H,K,B,A,F,L,generated_from_fifa_candidate_slots
ABCFGIJK,B,C,F,K,J,A,G,I,generated_from_fifa_candidate_slots
ABCFGIJL,B,C,F,I,J,A,G,L,generated_from_fifa_candidate_slots
ABCFGIKL,B,C,F,K,I,A,G,L,generated_from_fifa_candidate_slots
ABCFGJKL,B,F,C,K,J,A,G,L,generated_from_fifa_candidate_slots
ABCFHIJK,A,C,H,K,B,J,F,I,generated_from_fifa_candidate_slots
ABCFHIJL,A,C,I,H,B,J,F,L,generated_from_fifa_candidate_slots
ABCFHIKL,A,C,I,K,B,H,F,L,generated_from_fifa_candidate_slots
ABCFHJKL,A,C,H,K,B,J,F,L,generated_from_fifa_candidate_slots
ABCFIJKL,B,C,F,K,J,A,I,L,generated_from_fifa_candidate_slots
ABCGHIJK,A,C,H,K,B,J,G,I,generated_from_fifa_candidate_slots
ABCGHIJL,A,C,H,I,B,J,G,L,generated_from_fifa_candidate_slots
ABCGHIKL,A,C,H,K,B,I,G,L,generated_from_fifa_candidate_slots
ABCGHJKL,A,H,C,K,B,J,G,L,generated_from_fifa_candidate_slots
ABCGIJKL,A,C,I,K,B,J,G,L,generated_from_fifa_candidate_slots
ABCHIJKL,A,C,H,K,B,J,I,L,generated_from_fifa_candidate_slots
ABDEFGHI,A,F,H,E,B,I,G,D,generated_from_fifa_candidate_slots
ABDEFGHJ,A,F,E,H,B,J,G,D,generated_from_fifa_candidate_slots
ABDEFGHK,F,H,E,K,B,A,G,D,generated_from_fifa_candidate_slots
ABDEFGHL,D,H,F,E,B,A,G,L,generated_from_fifa_candidate_slots
ABDEFGIJ,B,D,E,I,F,A,G,J,generated_from_fifa_candidate_slots
ABDEFGIK,B,D,E,K,F,A,G,I,generated_from_fifa_candidate_slots
ABDEFGIL,B,D,F,E,I,A,G,L,generated_from_fifa_candidate_slots
ABDEFGJK,B,D,E,K,F,A,G,J,generated_from_fifa_candidate_slots
ABDEFGJL,B,D,E,J,F,A,G,L,generated_from_fifa_candidate_slots
ABDEFGKL,F,D,E,K,B,A,G,L,generated_from_fifa_candidate_slots
ABDEFHIJ,A,D,E,H,B,J,F,I,generated_from_fifa_candidate_slots
ABDEFHIK,A,D,F,K,B,H,E,I,generated_from_fifa_candidate_slots
ABDEFHIL,A,D,H,E,B,I,F,L,generated_from_fifa_candidate_slots
ABDEFHJK,A,D,E,K,B,H,F,J,generated_from_fifa_candidate_slots
ABDEFHJL,A,D,E,H,B,J,F,L,generated_from_fifa_candidate_slots
ABDEFHKL,A,D,F,K,B,H,E,L,generated_from_fifa_candidate_slots
ABDEFIJK,A,D,E,K,B,I,F,J,generated_from_fifa_candidate_slots
ABDEFIJL,A,D,E,I,B,J,F,L,generated_from_fifa_candidate_slots
ABDEFIKL,B,D,E,K,I,A,F,L,generated_from_fifa_candidate_slots
ABDEFJKL,B,D,E,K,J,A,F,L,generated_from_fifa_candidate_slots
ABDEGHIJ,A,D,E,H,B,J,G,I,generated_from_fifa_candidate_slots
ABDEGHIK,A,D,E,K,B,H,G,I,generated_from_fifa_candidate_slots
ABDEGHIL,A,D,E,H,B,I,G,L,generated_from_fifa_candidate_slots
ABDEGHJK,A,D,E,K,B,H,G,J,generated_from_fifa_candidate_slots
ABDEGHJL,A,D,E,H,B,J,G,L,generated_from_fifa_candidate_slots
ABDEGHKL,A,D,E,K,B,H,G,L,generated_from_fifa_candidate_slots
ABDEGIJK,A,D,E,K,B,I,G,J,generated_from_fifa_candidate_slots
ABDEGIJL,A,D,E,I,B,J,G,L,generated_from_fifa_candidate_slots
ABDEGIKL,A,D,E,K,B,I,G,L,generated_from_fifa_candidate_slots
ABDEGJKL,A,D,E,K,B,J,G,L,generated_from_fifa_candidate_slots
ABDEHIJK,A,D,E,K,B,H,I,J,generated_from_fifa_candidate_slots
ABDEHIJL,A,D,E,H,B,J,I,L,generated_from_fifa_candidate_slots
ABDEHIKL,A,D,H,K,B,I,E,L,generated_from_fifa_candidate_slots
ABDEHJKL,A,D,E,K,B,H,J,L,generated_from_fifa_candidate_slots
ABDEIJKL,A,D,E,K,B,J,I,L,generated_from_fifa_candidate_slots
ABDFGHIJ,A,G,F,H,B,I,J,D,generated_from_fifa_candidate_slots
ABDFGHIK,A,G,F,K,B,H,I,D,generated_from_fifa_candidate_slots
