team,snapshot_date,source,source_url,previous_appearances,wins,draws,losses,win_pct,best_result,qatar_2022,best_stage_score,recent_stage_score,experience_score,record_score,recency_score,titles,finals_from_best_result,wc_path_score,source_note
Mexico,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,17,17,15,28,28.3,Quarter-finalists 1970 1986,Group stage,58,18,85,36,100,0,0,58,Co-host; seven straight last-16 exits ended in Qatar group stage.
South Africa,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,2,4,3,22.2,Group stage 1998 2002 2010,DNQ,18,10,15,33,56,0,0,27,First appearance since hosting 2010.
Korea Republic,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,11,7,10,21,18.4,Fourth place 2002,Round of 16,70,42,55,26,100,0,0,60,Long active appearance streak; two knockout appearances since 2002.
Czechia,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,9,12,5,16,36.4,Runners up 1934 1962,DNQ,88,10,45,43,42,0,2,63,Includes Czechoslovakia record in source.
Canada,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,2,0,0,6,0.0,Group stage 1986 2022,Group stage,18,18,10,0,100,0,0,27,Still awaiting first World Cup point.
Bosnia and Herzegovina,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,1,0,2,33.3,Group stage,DNQ,18,10,5,37,68,0,0,27,Second World Cup since the break-up of Yugoslavia.
Qatar,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,0,0,3,0.0,Group stage 2022,Group stage,18,18,5,0,100,0,0,26,First successful qualification after hosting 2022.
Switzerland,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,12,14,8,19,34.1,Quarter-finals 1934 1938 1954,Round of 16,58,42,60,41,100,0,0,59,Frequent modern last-16 exits.
Brazil,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,22,76,19,19,66.7,Winners 1958 1962 1970 1994 2002,Quarter-finals,98,58,100,77,100,5,5,98,Only team to appear at every World Cup; record five titles.
Morocco,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,5,7,11,21.7,Fourth place 2022,Fourth place,70,70,30,30,100,0,0,61,First African semi-finalist.
Haiti,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,0,0,3,0.0,Group stage 1974,DNQ,18,10,5,0,18,0,0,17,One previous appearance in 1974.
Scotland,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,8,4,7,12,17.4,Group stage 1954 1958 1974 1978 1982 1986 1990 1998,DNQ,18,10,40,25,28,0,0,27,Never beyond group stage.
USA,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,11,9,8,20,24.3,Semi-finalists 1930,Round of 16,70,42,55,31,100,0,0,61,Co-host; quarter-final in 2002 noted in source text.
Paraguay,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,8,7,10,10,25.9,Quarter-finals 2010,DNQ,58,10,40,36,56,0,0,45,First World Cup since 2010.
Australia,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,4,4,12,20.0,Round of 16 2006 2022,Round of 16,42,42,30,26,100,0,0,46,Sixth consecutive finals appearance.
Türkiye,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,2,5,1,4,50.0,Third place 2002,DNQ,78,10,10,57,42,0,0,48,Reached semi-finals in 2002.
Germany,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,20,68,21,23,60.7,Winners 1954 1974 1990 2014,Group stage,98,18,100,71,100,4,4,98,Four titles but group-stage exits in last two.
Curacao,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,0,0,0,0,0.0,First appearance,DNQ,10,10,0,0,18,0,0,13,First World Cup appearance.
Cote d'Ivoire,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,3,1,5,33.3,Group stage 2006 2010 2014,DNQ,18,10,15,39,68,0,0,29,Won a game at each previous World Cup but never escaped group.
Ecuador,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,4,5,2,6,38.5,Round of 16 2006,Group stage,42,18,20,45,100,0,0,43,One prior knockout appearance.
Netherlands,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,11,31,14,11,55.4,Runners-up 1974 1978 2010,Quarter-finals,88,58,55,66,100,0,3,86,Three finals and two further semi-finals without title.
Japan,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,7,7,6,12,28.0,Round of 16 2002 2010 2018 2022,Round of 16,42,42,35,36,100,0,0,48,Never beyond first knockout round.
Sweden,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,12,19,13,19,37.3,Runners up 1958,DNQ,88,10,60,46,82,0,1,66,Historic finalist; returned through play-offs.
Tunisia,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,3,5,10,16.7,Group stage 1978 1998 2002 2006 2018 2022,Group stage,18,18,30,24,100,0,0,34,Never beyond group stage.
Belgium,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,14,21,10,20,41.2,Third place 2018,Group stage,78,18,70,49,100,0,0,64,Best finish in 2018.
Egypt,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,0,2,5,0.0,Round of 16 1934,DNQ,42,10,15,6,82,0,0,33,Best effort came in straight knockout format.
IR Iran,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,3,4,11,16.7,Group Stage 1978 1998 2006 2014 2018 2022,Group stage,18,18,30,23,100,0,0,33,No knockout game yet.
New Zealand,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,2,0,3,3,0.0,Group stage 1982 2010,DNQ,18,10,10,10,56,0,0,23,Unbeaten but eliminated in 2010.
Spain,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,16,31,17,19,46.3,Winners 2010,Round of 16,98,42,80,56,100,1,1,92,2010 winners; three straight last-16-or-earlier exits since.
Cabo Verde,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,0,0,0,0,0.0,First appearance,DNQ,10,10,0,0,18,0,0,13,First-time qualifier.
Saudi Arabia,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,6,4,2,13,21.1,Round of 16 1994,Group stage,42,18,30,25,100,0,0,42,Beat eventual champions Argentina in 2022 group stage.
Uruguay,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,14,25,13,21,42.4,Winners 1930 1950,Group stage,98,18,70,51,100,2,2,98,Two titles.
France,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,16,39,14,20,53.4,Winners 1998 2018,Runners-up,98,88,80,63,100,2,2,98,Four finals in last seven World Cups.
Senegal,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,5,3,4,41.7,Quarter-finals 2002,Round of 16,58,42,15,51,100,0,0,53,Made it out of group in 2002 and 2022.
Iraq,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,0,0,3,0.0,Group stage,DNQ,18,10,5,0,28,0,0,18,Second World Cup after 1986.
Norway,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,3,2,3,3,25.0,Round of 16 1938 1998,DNQ,42,10,15,35,28,0,0,32,First World Cup since 1998.
Argentina,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,17,47,17,24,53.4,Winners 1978 1986 2022,Winners,98,98,85,63,100,3,3,98,Defending champions.
Algeria,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,4,3,3,7,23.1,Round of 16 2014,DNQ,42,10,20,30,68,0,0,36,Best World Cup came in 2014.
Austria,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,7,12,4,13,41.4,Third place 1954,DNQ,78,10,35,48,28,0,0,49,Historic third and fourth place finishes.
Jordan,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,0,0,0,0,0.0,First appearance,DNQ,10,10,0,0,18,0,0,13,First World Cup appearance.
Portugal,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,8,17,6,12,48.6,Fourth place 2006,Quarter-finals,70,58,40,57,100,0,0,65,Semi-final in 2006 and quarter-final in 2022.
Congo DR,2026-05-30,Football365 2026 qualified-team World Cup records + local champion path summary,https://www.football365.com/news/world-cup-records-team-qualified-2026,1,0,0,3,0.0,Group stage,DNQ,18,10,5,0,18,0,0,17,Previous appearance as Zaire in 1974.
